state_and_district_of_columbia,value
Alabama,35494154
Alaska,64402
Arizona,151894555
Arkansas,151894555
California,542361665
Colorado,100121805
Connecticut,1721451
District of Columbia,22.1
Delaware,2296797
Florida,37317276
Georgia,93216138
Hawaii,215633
Idaho,59347731
Illinois,450864704
Indiana,391340550
Iowa,142207674
Kansas,342902570
Kentucky,90530443
Louisiana,77826920
Maine,4266990
Maryland,7845395
Massachusetts,1923325
Michigan,72525711
Minnesota,87232529
Mississippi,117968293
Missouri,516410999
Montana,115378366
Nebraska,181237008
Nevada,20063041
New Hampshire,55332
New Jersey,4490920
New Mexico,10132114
New York,46019675
North Carolina,221209897
North Dakota,305658439
Ohio,180710541
Oklahoma,125481806
Oregon,48953586
Pennsylvania,25519677
Rhode Island,62868
South Carolina,125415251
South Dakota,178700270
Tennessee,44244167
Texas,507917583
Utah,3097991
Vermont,3355814
Virginia,33420605
Washington,182774666
West Virginia,1142128
Wisconsin,50728101
Wyoming,6702037
